2026-03-10T11:15:20.134045+0530 | INFO | Loading embedding model
2026-03-10T11:15:25.035037+0530 | INFO | Dataset metadata loaded
2026-03-10T11:15:25.035613+0530 | INFO | Building FAISS index
2026-03-10T11:15:25.112406+0530 | INFO | FAISS index created
2026-03-10T11:15:25.173847+0530 | INFO | 🚀 Data Fetcher Agent API started
2026-03-10T11:16:45.269000+0530 | INFO | 🛑 Data Fetcher Agent API stopped
2026-03-10T11:17:01.998134+0530 | INFO | Loading embedding model
2026-03-10T11:17:06.703323+0530 | INFO | Dataset metadata loaded
2026-03-10T11:17:06.703979+0530 | INFO | Building FAISS index
2026-03-10T11:17:06.793251+0530 | INFO | FAISS index created
2026-03-10T11:17:06.845699+0530 | INFO | 🚀 Data Fetcher Agent API started
2026-03-10T11:18:30.676150+0530 | INFO | Received query: Show transactions above 10000
2026-03-10T11:18:30.676759+0530 | INFO | Processing query: Show transactions above 10000
2026-03-10T11:18:30.677118+0530 | INFO | Sending prompt to Gemini
2026-03-10T11:18:31.132427+0530 | ERROR | Gemini API Error: 404 NOT_FOUND. {'error': {'code': 404, 'message': 'models/gemini-1.5-flash-latest is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.', 'status': 'NOT_FOUND'}}
2026-03-10T11:18:31.133143+0530 | ERROR | Failed to parse Gemini response
2026-03-10T11:18:31.156466+0530 | INFO | Dataset search result: [{'name': 'transactions.csv', 'description': '\n                Dataset transactions.csv containing columns: transaction_id, customer_id, amount, date.\n                This dataset can be used for analytics and reporting.\n                ', 'path': 'C:\\Users\\GX\\Documents\\Ai_Data_Fetcher\\backend\\data\\transactions.csv'}]
2026-03-10T11:18:31.157178+0530 | INFO | Selected dataset: C:\Users\GX\Documents\Ai_Data_Fetcher\backend\data\transactions.csv
2026-03-10T11:18:31.157773+0530 | INFO | Loading CSV dataset: C:\Users\GX\Documents\Ai_Data_Fetcher\backend\data\transactions.csv
2026-03-10T11:18:31.164127+0530 | INFO | Generating report: query_result
2026-03-10T11:18:31.165091+0530 | INFO | Report generated successfully
2026-03-10T11:19:45.002255+0530 | INFO | 🛑 Data Fetcher Agent API stopped
2026-03-10T11:20:04.627769+0530 | INFO | Loading embedding model
2026-03-10T11:20:09.602539+0530 | INFO | Dataset metadata loaded
2026-03-10T11:20:09.603335+0530 | INFO | Building FAISS index
2026-03-10T11:20:09.745705+0530 | INFO | FAISS index created
2026-03-10T11:20:09.808715+0530 | INFO | 🚀 Data Fetcher Agent API started
2026-03-10T11:20:09.820240+0530 | INFO | Received query: Show transactions above 10000
2026-03-10T11:20:09.820717+0530 | INFO | Processing query: Show transactions above 10000
2026-03-10T11:20:09.821073+0530 | INFO | Sending prompt to Gemini
